key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05001-480100-1,4.5,265.72,0.41,0.33,369,0.5,0,0.19,0.02,0.32,0.33,0.6,0.81,0.33,0.22,0.67,0.12,0.14,1978,0.56,0,0.19,0
05001-480200-1,4.8,277.07,0.51,0.24,361,0.46,0,0.13,0.03,0.47,0.21,0.49,0.91,0.39,0.24,0.82,0.24,0.16,1979,0.48,0.12,0.07,0
05001-480300-1,1830.6,0.53,0.47,0.13,161,0.24,0,0.17,0,0.37,0.23,0.35,0.79,0.44,0.18,0.75,0.06,0,1975,0.5,0.07,0.14,0
05001-480300-2,126.5,15.32,0.52,0.32,537,0.5,0,0.22,0.02,0.48,0.22,0.3,0.85,0.29,0.29,0.75,0.09,0.22,1983,0.68,0.06,0,0
05001-480400-1,2224.6,0.73,0.57,0.57,303,0.27,1,0.33,0.05,0.65,0.18,0.17,0.49,0.31,0.25,0.42,0.06,0,1978,0.57,0.44,0.09,0
05001-480400-2,23.4,22.74,0.41,0.58,135,0.49,0,0.19,0.04,0.62,0.1,0.42,0.73,0.39,0.14,0.69,0.14,0.16,1984,0.72,0.11,0.24,0
05001-480500-1,2154.2,0.75,0.51,0.18,449,0.6,0,0.32,0,0.63,0.29,0.43,0.91,0.33,0.27,0.66,0.1,0.17,1969,0.37,0.07,0.02,0
05001-480500-2,2476.3,0.75,0.52,0.96,262,0.54,0,0.2,0.03,0.68,0.27,0.46,0.79,0.25,0.25,0.65,0.08,0.04,1966,0.53,0.16,0.05,0
05001-480500-3,97.4,3.89,0.36,0,75,0.43,0,0.17,0,0.52,0.08,0.33,0.83,0.29,0.23,0.35,0.06,0.05,1963,0.53,0,0,0
05001-480600-1,36.7,51.51,0.49,0.04,625,0.46,0,0.27,0.01,0.37,0.11,0.61,0.86,0.24,0.24,0.63,0.07,0.08,1976,0.63,0.29,0.07,0
05001-480700-1,1489,0.86,0.54,0.43,266,0.31,0,0.44,0.03,0.43,0.28,0.22,0.59,0.3,0.23,0.59,0.01,0.07,1971,0.71,0.44,0.11,0
05001-480700-2,25.1,58.87,0.52,0.7,447,0.38,0.32,0.25,0.04,0.29,0.32,0.39,0.78,0.27,0.25,0.57,0.04,0.07,1986,0.54,0.16,0.05,0
05001-480800-1,2.6,291.52,0.61,0,264,0.56,0,0.21,0,0.18,0.35,0.62,0.94,0.25,0.26,0.72,0.29,0.33,1970,0.61,0,0.05,0
05001-480800-2,226.1,1.88,0.52,0.2,146,0.64,0,0.3,0.15,0.44,0.14,0.4,0.82,0.27,0.19,0.58,0.27,0.14,1974,0.46,0.12,0.05,0
05003-960100-1,8.3,107.71,0.53,0.52,250,0.48,0,0.21,0.01,0.29,0.12,0.48,0.74,0.2,0.22,0.71,0.07,0.02,1969,0.36,0.18,0.07,0
05003-960100-2,3.1,194.27,0.5,0,185,0.41,0,0.09,0.02,0.28,0.14,0.03,0.88,0.4,0.27,0.89,0.21,0.14,1993,0.47,0,0.13,0
05003-960200-1,15.6,83.76,0.44,0.01,376,0.25,0.38,0.15,0.06,0.55,0.14,0.35,0.79,0.32,0.26,0.72,0.11,0.06,1985,0.63,0,0.08,0
05003-960200-2,17.4,76.94,0.57,0,507,0.23,0,0.19,0.02,0.25,0.29,0.58,0.91,0.25,0.21,0.85,0.14,0.05,1981,0.64,0,0,0
05003-960300-1,78,11.36,0.42,0.03,256,0.32,0,0.17,0.01,0.24,0.09,0.78,0.85,0.37,0.28,0.69,0,0.29,1988,0.39,0,0.1,0
05003-960300-2,53.9,14.43,0.41,0.3,176,0.37,0,0.21,0.08,0.17,0.36,0.3,0.78,0.38,0.23,0.66,0.06,0,1979,0.42,0,0.14,0
05003-960300-3,35.6,40.36,0.57,0.39,346,0.25,0,0.18,0.03,0.41,0.19,0.32,0.72,0.34,0.21,0.62,0.06,0.09,1973,0.44,0.23,0.02,0
05003-960300-4,71.1,16,0.53,0.15,360,0.45,0,0.29,0.02,0.46,0.27,0.67,0.51,0.3,0.36,0.53,0.07,0.05,1969,0.51,0.06,0.09,0
05003-960400-1,4.3,245.35,0.46,0.17,304,0.48,0,0.25,0.01,0.38,0.29,0.63,0.74,0.36,0.22,0.61,0.12,0.16,1987,0.66,0.05,0.09,0
05003-960400-2,11.1,43.27,0.66,0,148,0.2,0,0.24,0.04,0.31,0.13,0.31,0.67,0.15,0.15,0.64,0.12,0.12,1973,0.41,0.27,0.02,0
05003-960500-1,287.7,3.96,0.43,0.46,222,0.15,0,0.37,0.08,0.55,0.18,0.09,0.73,0.34,0.29,0.62,0.08,0.03,1974,0.82,0.33,0.07,0
05003-960500-2,963.4,0.72,0.5,0.19,148,0.22,0,0.26,0.03,0.2,0.08,0.03,0.54,0.34,0.2,0.43,0,0.1,1981,0.49,0.44,0.01,0
05003-960500-3,139.4,5.57,0.36,0.33,180,0.33,0,0.33,0,0.21,0.17,0.4,0.67,0.4,0.1,0.52,0,0,1977,0.7,0.42,0.04,0
05003-960600-1,251.8,3,0.66,1,234,0.62,1,0.33,0,0.48,0.12,0.63,0.58,0.29,0.29,0.53,0.1,0.22,0,0.34,0.82,0,0
05003-960600-2,188.3,5.34,0.7,0.4,140,0.36,0,0.53,0.04,0.19,0.18,0.15,0.42,0.3,0.3,0.52,0,0.08,1964,0.3,0,0.16,0
05003-960600-3,1534.6,0.82,0.52,0.14,263,0.22,0,0.31,0,0.18,0.33,0.34,0.78,0.35,0.34,0.54,0.03,0,1959,0.39,0.15,0.34,0
05003-960600-4,85.8,12.58,0.44,0.04,379,0.42,0,0.22,0,0.63,0.43,0.71,0.86,0.25,0.23,0.69,0.03,0.21,1982,0.41,0,0,0
05003-960600-5,901.6,1.02,0.54,0,348,0.52,0,0.2,0,0.4,0.37,0.45,1,0.1,0.26,0.61,0.11,0.25,1963,0.34,0,0.03,0
05003-960700-1,16.5,52.57,0.55,0.26,219,0.43,0,0.15,0.01,0.34,0.23,0.74,0.85,0.41,0.18,0.7,0.07,0.13,1978,0.54,0.3,0.07,0
