,population_den,Area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
"Block Group 1, Census Tract 4801, Arkansas County, Arkansas",4.50,265.72,0.41,0.33,369,0.50,0.00,0.19,0.02,0.32,0.33,0.60,0.81,0.33,0.22,0.67,0.12,0.14,1978.00,0.56,0.00,0.19,0.00
"Block Group 1, Census Tract 4802, Arkansas County, Arkansas",4.80,277.07,0.51,0.24,361,0.46,0.00,0.13,0.03,0.47,0.21,0.49,0.91,0.39,0.24,0.82,0.24,0.16,1979.00,0.48,0.12,0.07,0.00
"Block Group 1, Census Tract 4803, Arkansas County, Arkansas",1830.60,0.53,0.47,0.13,161,0.24,0.00,0.17,0.00,0.37,0.23,0.35,0.79,0.44,0.18,0.75,0.06,0.00,1975.00,0.50,0.07,0.14,0.00
"Block Group 2, Census Tract 4803, Arkansas County, Arkansas",126.50,15.32,0.52,0.32,537,0.50,0.00,0.22,0.02,0.48,0.22,0.30,0.85,0.29,0.29,0.75,0.09,0.22,1983.00,0.68,0.06,0.00,0.00
"Block Group 1, Census Tract 4804, Arkansas County, Arkansas",2224.60,0.73,0.57,0.57,303,0.27,1.00,0.33,0.05,0.65,0.18,0.17,0.49,0.31,0.25,0.42,0.06,0.00,1978.00,0.57,0.44,0.09,0.00
"Block Group 2, Census Tract 4804, Arkansas County, Arkansas",23.40,22.74,0.41,0.58,135,0.49,0.00,0.19,0.04,0.62,0.10,0.42,0.73,0.39,0.14,0.69,0.14,0.16,1984.00,0.72,0.11,0.24,0.00
"Block Group 1, Census Tract 4805, Arkansas County, Arkansas",2154.20,0.75,0.51,0.18,449,0.60,0.00,0.32,0.00,0.63,0.29,0.43,0.91,0.33,0.27,0.66,0.10,0.17,1969.00,0.37,0.07,0.02,0.00
"Block Group 2, Census Tract 4805, Arkansas County, Arkansas",2476.30,0.75,0.52,0.96,262,0.54,0.00,0.20,0.03,0.68,0.27,0.46,0.79,0.25,0.25,0.65,0.08,0.04,1966.00,0.53,0.16,0.05,0.00
"Block Group 3, Census Tract 4805, Arkansas County, Arkansas",97.40,3.89,0.36,0.00,75,0.43,0.00,0.17,0.00,0.52,0.08,0.33,0.83,0.29,0.23,0.35,0.06,0.05,1963.00,0.53,0.00,0.00,0.00
"Block Group 1, Census Tract 4806, Arkansas County, Arkansas",36.70,51.51,0.49,0.04,625,0.46,0.00,0.27,0.01,0.37,0.11,0.61,0.86,0.24,0.24,0.63,0.07,0.08,1976.00,0.63,0.29,0.07,0.00
"Block Group 1, Census Tract 4807, Arkansas County, Arkansas",1489.00,0.86,0.54,0.43,266,0.31,0.00,0.44,0.03,0.43,0.28,0.22,0.59,0.30,0.23,0.59,0.01,0.07,1971.00,0.71,0.44,0.11,0.00
"Block Group 2, Census Tract 4807, Arkansas County, Arkansas",25.10,58.87,0.52,0.70,447,0.38,0.32,0.25,0.04,0.29,0.32,0.39,0.78,0.27,0.25,0.57,0.04,0.07,1986.00,0.54,0.16,0.05,0.00
"Block Group 1, Census Tract 4808, Arkansas County, Arkansas",2.60,291.52,0.61,0.00,264,0.56,0.00,0.21,0.00,0.18,0.35,0.62,0.94,0.25,0.26,0.72,0.29,0.33,1970.00,0.61,0.00,0.05,0.00
"Block Group 2, Census Tract 4808, Arkansas County, Arkansas",226.10,1.88,0.52,0.20,146,0.64,0.00,0.30,0.15,0.44,0.14,0.40,0.82,0.27,0.19,0.58,0.27,0.14,1974.00,0.46,0.12,0.05,0.00
"Block Group 1, Census Tract 9601, Ashley County, Arkansas",8.30,107.71,0.53,0.52,250,0.48,0.00,0.21,0.01,0.29,0.12,0.48,0.74,0.20,0.22,0.71,0.07,0.02,1969.00,0.36,0.18,0.07,0.00
"Block Group 2, Census Tract 9601, Ashley County, Arkansas",3.10,194.27,0.50,0.00,185,0.41,0.00,0.09,0.02,0.28,0.14,0.03,0.88,0.40,0.27,0.89,0.21,0.14,1993.00,0.47,0.00,0.13,0.00
"Block Group 1, Census Tract 9602, Ashley County, Arkansas",15.60,83.76,0.44,0.01,376,0.25,0.38,0.15,0.06,0.55,0.14,0.35,0.79,0.32,0.26,0.72,0.11,0.06,1985.00,0.63,0.00,0.08,0.00
"Block Group 2, Census Tract 9602, Ashley County, Arkansas",17.40,76.94,0.57,0.00,507,0.23,0.00,0.19,0.02,0.25,0.29,0.58,0.91,0.25,0.21,0.85,0.14,0.05,1981.00,0.64,0.00,0.00,0.00
"Block Group 1, Census Tract 9603, Ashley County, Arkansas",78.00,11.36,0.42,0.03,256,0.32,0.00,0.17,0.01,0.24,0.09,0.78,0.85,0.37,0.28,0.69,0.00,0.29,1988.00,0.39,0.00,0.10,0.00
"Block Group 2, Census Tract 9603, Ashley County, Arkansas",53.90,14.43,0.41,0.30,176,0.37,0.00,0.21,0.08,0.17,0.36,0.30,0.78,0.38,0.23,0.66,0.06,0.00,1979.00,0.42,0.00,0.14,0.00
"Block Group 3, Census Tract 9603, Ashley County, Arkansas",35.60,40.36,0.57,0.39,346,0.25,0.00,0.18,0.03,0.41,0.19,0.32,0.72,0.34,0.21,0.62,0.06,0.09,1973.00,0.44,0.23,0.02,0.00
"Block Group 4, Census Tract 9603, Ashley County, Arkansas",71.10,16.00,0.53,0.15,360,0.45,0.00,0.29,0.02,0.46,0.27,0.67,0.51,0.30,0.36,0.53,0.07,0.05,1969.00,0.51,0.06,0.09,0.00
"Block Group 1, Census Tract 9604, Ashley County, Arkansas",4.30,245.35,0.46,0.17,304,0.48,0.00,0.25,0.01,0.38,0.29,0.63,0.74,0.36,0.22,0.61,0.12,0.16,1987.00,0.66,0.05,0.09,0.00
"Block Group 2, Census Tract 9604, Ashley County, Arkansas",11.10,43.27,0.66,0.00,148,0.20,0.00,0.24,0.04,0.31,0.13,0.31,0.67,0.15,0.15,0.64,0.12,0.12,1973.00,0.41,0.27,0.02,0.00
"Block Group 1, Census Tract 9605, Ashley County, Arkansas",287.70,3.96,0.43,0.46,222,0.15,0.00,0.37,0.08,0.55,0.18,0.09,0.73,0.34,0.29,0.62,0.08,0.03,1974.00,0.82,0.33,0.07,0.00
"Block Group 2, Census Tract 9605, Ashley County, Arkansas",963.40,0.72,0.50,0.19,148,0.22,0.00,0.26,0.03,0.20,0.08,0.03,0.54,0.34,0.20,0.43,0.00,0.10,1981.00,0.49,0.44,0.01,0.00
"Block Group 3, Census Tract 9605, Ashley County, Arkansas",139.40,5.57,0.36,0.33,180,0.33,0.00,0.33,0.00,0.21,0.17,0.40,0.67,0.40,0.10,0.52,0.00,0.00,1977.00,0.70,0.42,0.04,0.00
"Block Group 1, Census Tract 9606, Ashley County, Arkansas",251.80,3.00,0.66,1.00,234,0.62,1.00,0.33,0.00,0.48,0.12,0.63,0.58,0.29,0.29,0.53,0.10,0.22,0.00,0.34,0.82,0.00,0.00
"Block Group 2, Census Tract 9606, Ashley County, Arkansas",188.30,5.34,0.70,0.40,140,0.36,0.00,0.53,0.04,0.19,0.18,0.15,0.42,0.30,0.30,0.52,0.00,0.08,1964.00,0.30,0.00,0.16,0.00
"Block Group 3, Census Tract 9606, Ashley County, Arkansas",1534.60,0.82,0.52,0.14,263,0.22,0.00,0.31,0.00,0.18,0.33,0.34,0.78,0.35,0.34,0.54,0.03,0.00,1959.00,0.39,0.15,0.34,0.00
"Block Group 4, Census Tract 9606, Ashley County, Arkansas",85.80,12.58,0.44,0.04,379,0.42,0.00,0.22,0.00,0.63,0.43,0.71,0.86,0.25,0.23,0.69,0.03,0.21,1982.00,0.41,0.00,0.00,0.00
"Block Group 5, Census Tract 9606, Ashley County, Arkansas",901.60,1.02,0.54,0.00,348,0.52,0.00,0.20,0.00,0.40,0.37,0.45,1.00,0.10,0.26,0.61,0.11,0.25,1963.00,0.34,0.00,0.03,0.00
"Block Group 1, Census Tract 9607, Ashley County, Arkansas",16.50,52.57,0.55,0.26,219,0.43,0.00,0.15,0.01,0.34,0.23,0.74,0.85,0.41,0.18,0.70,0.07,0.13,1978.00,0.54,0.30,0.07,0.00
"Block Group 2, Census Tract 9607, Ashley County, Arkansas",148.00,6.46,0.52,0.29,298,0.33,0.00,0.22,0.01,0.39,0.32,0.48,0.92,0.30,0.22,0.84,0.03,0.17,1981.00,0.78,0.54,0.11,0.00
"Block Group 1, Census Tract 9501, Baxter County, Arkansas",201.40,4.09,0.47,0.00,299,0.71,0.00,0.27,0.13,0.67,0.30,0.10,0.93,0.18,0.41,0.58,0.05,0.05,1976.00,0.71,0.00,0.11,0.00
"Block Group 2, Census Tract 9501, Baxter County, Arkansas",649.80,1.50,0.66,1.00,370,0.73,0.00,0.52,0.02,0.50,0.75,0.31,0.95,0.15,0.13,0.29,0.08,0.27,1980.00,0.59,0.08,0.07,0.00
"Block Group 3, Census Tract 9501, Baxter County, Arkansas",1499.80,1.11,0.49,0.18,416,0.50,0.00,0.29,0.00,0.54,0.33,0.72,0.81,0.32,0.22,0.58,0.11,0.15,1980.00,0.43,0.08,0.21,0.00
"Block Group 4, Census Tract 9501, Baxter County, Arkansas",333.10,3.80,0.48,0.27,469,0.44,0.00,0.53,0.00,0.23,0.53,0.54,0.69,0.22,0.16,0.59,0.03,0.28,1975.00,0.79,0.27,0.31,0.00
"Block Group 1, Census Tract 9502, Baxter County, Arkansas",2425.30,0.53,0.53,0.00,173,0.30,0.00,0.14,0.00,0.69,0.24,0.19,0.64,0.38,0.33,0.52,0.05,0.04,1975.00,0.59,0.12,0.17,0.00
"Block Group 2, Census Tract 9502, Baxter County, Arkansas",612.90,1.99,0.49,0.07,576,0.66,0.00,0.26,0.02,0.53,0.35,0.85,0.96,0.16,0.18,0.46,0.05,0.42,1980.00,0.24,0.37,0.14,0.00
"Block Group 3, Census Tract 9502, Baxter County, Arkansas",389.70,5.19,0.48,0.00,669,0.63,0.00,0.15,0.03,0.36,0.35,0.83,0.96,0.21,0.12,0.62,0.14,0.35,1987.00,0.44,0.00,0.12,0.00
"Block Group 1, Census Tract 9503, Baxter County, Arkansas",526.80,2.63,0.51,0.72,297,0.54,0.00,0.35,0.04,0.55,0.23,0.38,0.75,0.27,0.20,0.50,0.05,0.32,1988.00,0.48,0.27,0.22,0.00
"Block Group 2, Census Tract 9503, Baxter County, Arkansas",1533.80,1.32,0.48,0.15,713,0.68,0.00,0.20,0.05,0.65,0.12,0.42,0.85,0.32,0.23,0.58,0.04,0.20,1980.00,0.24,0.07,0.05,0.00
"Block Group 3, Census Tract 9503, Baxter County, Arkansas",394.20,4.19,0.50,0.00,561,0.55,0.00,0.20,0.03,0.57,0.28,0.33,0.82,0.30,0.24,0.76,0.05,0.27,1977.00,0.49,0.00,0.10,0.00
"Block Group 1, Census Tract 9504, Baxter County, Arkansas",454.30,3.94,0.51,0.11,359,0.63,0.00,0.25,0.00,0.37,0.22,0.41,0.79,0.30,0.27,0.57,0.05,0.17,1991.00,0.66,0.15,0.13,0.00
"Block Group 2, Census Tract 9504, Baxter County, Arkansas",265.30,6.11,0.55,0.05,552,0.54,0.02,0.26,0.02,0.58,0.33,0.45,0.77,0.18,0.15,0.59,0.02,0.23,1987.00,0.27,0.25,0.18,0.00
"Block Group 1, Census Tract 9505, Baxter County, Arkansas",33.80,37.36,0.53,0.00,383,0.52,0.58,0.22,0.14,0.36,0.51,0.57,0.89,0.25,0.35,0.60,0.05,0.23,1993.00,0.75,0.08,0.11,0.00
"Block Group 2, Census Tract 9505, Baxter County, Arkansas",6.30,137.52,0.66,0.93,285,0.54,0.00,0.23,0.02,0.46,0.20,0.33,0.92,0.37,0.09,0.62,0.01,0.12,1980.00,0.23,0.00,0.23,0.00
"Block Group 3, Census Tract 9505, Baxter County, Arkansas",50.20,20.18,0.51,0.05,495,0.53,0.00,0.24,0.02,0.43,0.33,0.44,0.82,0.16,0.25,0.61,0.07,0.25,1985.00,0.76,0.44,0.23,0.00
"Block Group 4, Census Tract 9505, Baxter County, Arkansas",29.80,44.81,0.53,0.59,499,0.48,0.00,0.37,0.05,0.50,0.46,0.46,0.82,0.31,0.19,0.65,0.14,0.16,1993.00,0.76,0.33,0.09,0.00
"Block Group 1, Census Tract 9506, Baxter County, Arkansas",76.00,27.36,0.52,0.21,795,0.52,0.00,0.16,0.02,0.54,0.23,0.49,0.78,0.27,0.25,0.73,0.18,0.26,1991.00,0.73,0.50,0.09,0.00
"Block Group 2, Census Tract 9506, Baxter County, Arkansas",37.00,33.46,0.54,0.17,581,0.55,0.00,0.40,0.00,0.40,0.34,0.45,0.77,0.28,0.23,0.56,0.09,0.12,1986.00,0.52,0.00,0.21,0.00
"Block Group 3, Census Tract 9506, Baxter County, Arkansas",167.40,2.99,0.55,,244,0.30,0.00,0.40,0.05,0.40,0.41,0.44,0.74,0.13,0.12,0.65,0.04,0.19,1991.00,0.69,0.00,0.17,0.00
"Block Group 1, Census Tract 9507, Baxter County, Arkansas",173.70,6.83,0.49,0.71,427,0.52,0.00,0.27,0.01,0.42,0.32,0.24,0.77,0.26,0.28,0.71,0.12,0.23,1981.00,0.57,0.19,0.23,0.00
"Block Group 2, Census Tract 9507, Baxter County, Arkansas",226.00,4.46,0.62,0.64,399,0.55,0.59,0.21,0.02,0.43,0.41,0.48,0.88,0.20,0.19,0.65,0.28,0.38,1980.00,0.79,0.00,0.00,0.00
"Block Group 3, Census Tract 9507, Baxter County, Arkansas",24.30,49.17,0.47,0.06,441,0.45,0.00,0.19,0.00,0.34,0.49,0.72,0.78,0.24,0.14,0.73,0.03,0.18,1984.00,0.54,0.05,0.07,0.00
"Block Group 1, Census Tract 9508.01, Baxter County, Arkansas",245.40,6.69,0.46,0.00,701,0.66,0.00,0.22,0.01,0.63,0.49,0.57,0.86,0.12,0.13,0.64,0.06,0.41,1980.00,0.83,0.11,0.05,0.00
"Block Group 2, Census Tract 9508.01, Baxter County, Arkansas",36.10,51.77,0.50,0.67,602,0.56,0.00,0.27,0.02,0.35,0.24,0.50,0.81,0.28,0.19,0.67,0.20,0.34,1986.00,0.67,0.41,0.06,0.00
"Block Group 3, Census Tract 9508.01, Baxter County, Arkansas",190.70,4.41,0.52,0.43,338,0.41,0.00,0.27,0.00,0.45,0.23,0.61,0.84,0.24,0.28,0.62,0.01,0.22,1986.00,0.82,0.16,0.05,0.00
"Block Group 1, Census Tract 9508.02, Baxter County, Arkansas",40.80,47.36,0.49,0.27,723,0.44,0.00,0.25,0.04,0.48,0.31,0.59,0.84,0.35,0.25,0.79,0.15,0.16,1988.00,0.66,0.00,0.07,0.00
"Block Group 1, Census Tract 9509, Baxter County, Arkansas",66.10,20.42,0.44,0.39,551,0.46,0.00,0.36,0.00,0.22,0.30,0.27,0.82,0.23,0.28,0.65,0.10,0.15,1980.00,0.40,0.11,0.20,0.00
"Block Group 2, Census Tract 9509, Baxter County, Arkansas",560.30,1.71,0.61,0.55,357,0.55,0.50,0.30,0.01,0.59,0.21,0.44,0.74,0.19,0.14,0.65,0.08,0.29,1970.00,0.50,0.45,0.07,0.00
"Block Group 3, Census Tract 9509, Baxter County, Arkansas",420.50,4.23,0.50,0.16,492,0.46,0.37,0.24,0.04,0.63,0.18,0.47,0.84,0.34,0.23,0.65,0.10,0.10,1984.00,0.38,0.11,0.14,0.00
"Block Group 4, Census Tract 9509, Baxter County, Arkansas",100.70,16.80,0.47,0.18,484,0.56,0.00,0.13,0.03,0.48,0.29,0.38,0.84,0.33,0.11,0.78,0.13,0.24,1984.00,0.56,0.09,0.04,0.00
"Block Group 1, Census Tract 201.02, Benton County, Arkansas",446.70,5.82,0.45,0.13,620,0.62,0.00,0.15,0.01,0.66,0.13,0.59,0.97,0.57,0.35,0.87,0.13,0.43,2000.00,0.50,0.02,0.17,0.00
